apartmentId,rentalCost,maxOccupancy ,numberOfRooms,location,buildingId
1,768.16,2,4,POINT (1077.6979444315298 648.4427163702453),340
2,1014.55,2,1,POINT (-185.9292838076562 1520.3270983045118),752
3,1057.39,4,3,POINT (2123.0141855392585 5126.753457243003),639
4,1259.1,4,3,POINT (2103.6301776944765 4266.932930123476),397
5,411.5,1,4,POINT (7.0589743819342985 79.96163671849988),628
6,859.58,3,2,POINT (2250.85490611142 5251.3368306902885),533
7,982.11,3,4,POINT (486.8811262316384 2251.1260599901484),61
8,980.05,4,1,POINT (1233.4547558395932 1768.6111384755895),360
9,433.45,1,3,POINT (1274.2715913565519 1163.5051209752276),251
10,1104.33,3,4,POINT (-1697.0303105735857 1239.0301787057274),512
11,960.16,3,2,POINT (-341.9635948004018 1222.5966329871515),922
12,509.34,1,4,POINT (359.2567913319125 4138.105315267985),481
13,601.7,1,3,POINT (733.3292645996678 2093.8026404265943),760
14,758.99,3,2,POINT (2119.566426939381 5333.491746286379),646
15,1195.4,4,1,POINT (605.0252121382855 3081.898073815166),471
16,681.2,2,2,POINT (2211.1188040814286 5227.989103585554),533
17,698.59,2,3,POINT (2123.9062678259706 5021.749305819725),496
18,419.73,1,1,POINT (-733.4490637682554 1291.7750705612282),13
19,829.03,2,3,POINT (2231.8918158524557 4564.949488328515),200
20,1263.76,3,1,POINT (1294.8797998333248 4462.162809061927),33
21,857.75,3,1,POINT (2418.913601700183 4154.232521120825),94
22,696.8,3,3,POINT (-1396.3194484189332 2171.962600676111),809
23,794.25,2,4,POINT (-517.6567145846232 1675.8122265571778),212
24,611.76,1,3,POINT (607.6839706255785 2383.4941895708853),732
25,836.57,4,4,POINT (1784.5159809592985 3423.2709297455353),988
26,740.7,3,1,POINT (-1664.7143233539068 2058.9072198973454),826
27,1486.29,4,3,POINT (1572.5031676987496 4457.745004135188),145
28,709.61,3,2,POINT (1910.8047260903031 5326.192433295153),846
29,1097.73,4,1,POINT (1393.2352000452847 4920.767701988318),799
30,1135.74,3,4,POINT (573.0109209108848 1804.63524963616),834
31,749.32,2,2,POINT (-1406.9743418343592 896.4515376327631),363
32,872.66,4,4,POINT (1712.5031078849681 3255.0069762044836),138
33,698.63,3,1,POINT (1749.5557672904667 5245.7527151363665),469
34,1280.33,4,2,POINT (-1671.4929244370555 1509.7334090966851),992
35,1029.66,3,2,POINT (2050.180926104707 4335.0803589938605),921
36,1023.42,4,3,POINT (-513.818647913508 1863.5504336857932),43
37,496.54,1,1,POINT (-1234.6215038137211 1534.718942726612),903
38,839.46,3,4,POINT (1417.1760566368287 3332.468498865699),934
39,749.32,2,4,POINT (1068.300420731133 1266.8599518512474),144
40,888.46,2,4,POINT (503.21286336357514 2535.9764324651596),730
41,790.08,3,1,POINT (-1934.0445115651764 783.8901202563607),233
42,794.25,2,4,POINT (-584.6593803564347 1653.1374091367215),212
43,883.35,3,1,POINT (1060.9527895805502 488.26891188396814),796
44,1068.07,3,4,POINT (2253.3211062717032 4060.9279154409005),377
45,844.17,3,1,POINT (1267.2074937243829 1344.2032459918782),926
46,818.89,2,1,POINT (332.4271144442423 799.1239162888926),553
47,628.22,1,2,POINT (2115.8452080908246 4063.6161001643227),980
48,496.54,1,4,POINT (-1234.6215038137211 1448.7869027369825),903
49,428.87,1,1,POINT (2408.901432879168 4047.7974224702016),97
50,1302.17,3,3,POINT (1384.3957768227 3624.778668987212),134
51,455.39,1,2,POINT (2114.934830274308 5099.799243827387),639
52,751.67,3,2,POINT (-1844.8861722131728 1645.3299966099307),281
53,817.46,4,2,POINT (-2025.813803104962 1958.7809422263379),217
54,749.32,2,1,POINT (1175.0720102138607 1558.1560150626235),756
55,502.03,1,4,POINT (2153.389571449563 4760.551377277387),309
56,808.97,4,3,POINT (1810.3718590599055 5143.560776617284),764
57,914.44,3,1,POINT (-519.7323384216126 1799.7941060348785),955
58,665.25,2,3,POINT (-1473.1756324816884 954.9226790202229),188
59,379.49,1,1,POINT (2259.3425408722505 5333.491746286379),646
60,492.88,1,3,POINT (-1378.1087734767887 1346.2496064140034),579
61,1125.81,4,3,POINT (1043.4969169856518 1456.3078648565347),919
62,794.25,2,3,POINT (-450.65404881281165 1698.4870439776341),212
63,1140.2,4,4,POINT (501.0400177552985 2280.4328579134835),61
64,1104.33,3,2,POINT (663.3720396817216 3786.540333108135),1021
65,1020.52,3,2,POINT (2229.2515086489993 4472.603755319368),750
66,1135.74,3,3,POINT (1603.441866432816 4025.5633312874506),854
67,834.83,2,1,POINT (-1612.0532361578762 1166.4467472312872),461
68,1097.73,4,2,POINT (-462.1930332241808 1227.9869499730305),167
69,514.83,1,1,POINT (2050.180926104707 4374.926623500649),921
70,422.08,1,4,POINT (820.2880333847281 335.2976113816195),245
71,560.55,1,1,POINT (591.1622082693203 626.2207921626187),477
72,395.04,1,3,POINT (-726.5390497675858 1381.9337094162383),400
73,702.29,3,3,POINT (-1340.7911019175422 2119.6917523263082),122
74,846.42,2,3,POINT (2233.214439882725 4053.359048843635),377
75,1562.73,4,1,POINT (588.1769004542509 1516.0341391439815),699
76,702.29,3,1,POINT (-1328.614452264042 2167.516377015989),122
77,1090.02,3,2,POINT (47.52110619662399 947.513748612111),656
78,1246.43,4,4,POINT (1148.2831748145966 1631.175142849736),839
79,945.53,3,2,POINT (-522.4167300912522 1601.4949940725462),119
80,550.49,1,3,POINT (589.7126864665483 3461.117029912494),763
81,940.61,4,2,POINT (618.624018010996 419.60786747728764),564
82,1146.71,3,1,POINT (45.01782408669524 1116.5915531251405),319
83,480.08,1,3,POINT (223.3754341990981 1819.3960275496556),786
84,376.75,1,4,POINT (2466.0788073692256 5201.152719159174),608
85,1152.94,4,2,POINT (-1608.0622168774594 1658.4315678191297),153
86,482.83,1,1,POINT (-1678.956089260646 1142.0070197576047),515
87,1223,4,2,POINT (-1350.7863871473114 1237.862916004378),359
88,1014.55,2,4,POINT (1621.7516640707404 4457.745004135188),145
89,940.61,4,4,POINT (608.9711401040506 396.19646966521736),564
90,668.15,2,4,POINT (1352.5746952525114 3257.1881835177824),189
91,560.9,2,4,POINT (1816.3549639769624 5215.958137993539),571
92,668.99,2,3,POINT (-1585.4991059842016 1889.1871542928043),380
93,726.13,2,4,POINT (-365.12598626158865 1859.8642843940092),1027
94,420.64,1,3,POINT (-1692.8163360659346 1826.6295508653525),20
95,429.79,1,3,POINT (2211.1188040814286 5274.6845577950235),533
96,589.82,1,2,POINT (594.2562157427926 2198.5412944922555),895
97,1013.2,3,3,POINT (-1025.4630206407976 1571.1658211045055),961
98,1195.4,4,2,POINT (669.5108365380436 3276.917186613041),473
99,1144.44,4,1,POINT (-1455.4117812433362 1364.9315243240492),579
100,472.77,1,3,POINT (-657.4419276597039 1584.005409368071),530
101,562.35,2,3,POINT (1831.08936976338 5326.192433295153),846
102,472.77,1,4,POINT (1094.3987421029851 1284.2536210770436),144
103,1135.74,3,1,POINT (563.1093835724151 1776.051722536382),834
104,778.3,2,2,POINT (472.7222347079784 2221.8192620668133),61
105,778.3,2,1,POINT (110.29459020492618 509.20279882430367),152
106,720.58,3,3,POINT (2015.6012258387632 4877.664215132254),819
107,955.13,2,2,POINT (212.2553022725848 1303.9692542544997),381
108,839.46,3,2,POINT (1404.7963985230203 3346.4336047045435),934
109,701.49,2,1,POINT (-1459.3383959982882 876.0742311345832),334
110,1140.2,4,3,POINT (117.85379974017562 528.5651695902775),152
111,642.06,2,2,POINT (-1851.7810522771383 1845.2751568334254),239
112,1135.74,3,4,POINT (567.7208874125674 1914.3615429683741),301
113,960.16,3,1,POINT (-316.8237844549418 1215.0646778381442),922
114,879.76,2,3,POINT (-1118.9183898362523 1453.507684726088),353
115,665.25,2,3,POINT (1217.5077506817527 3514.1697849435245),968
116,1165.67,4,1,POINT (2153.389571449563 4536.66614032769),309
117,1042.53,4,2,POINT (1207.263972928359 1145.3561946361715),385
118,1420.47,4,3,POINT (360.7802421089881 4325.788999000322),1038
119,982.11,3,3,POINT (486.8811262316384 2251.1260599901484),61
120,1144.44,4,1,POINT (-1613.469903775158 895.8227278349611),979
121,724.24,3,1,POINT (-1423.5831222046177 1973.3137542599502),117
122,724.24,3,2,POINT (-1436.7396484852209 1991.45221093596),117
123,480.08,1,2,POINT (793.7649969278708 423.85360504497305),368
124,794.25,2,1,POINT (210.1736674123727 875.8050257714918),90
125,405.1,1,1,POINT (2423.1213407945315 4360.755472811068),328
126,452.65,1,1,POINT (1250.1855937282915 4900.7977692411405),384
127,386.81,1,4,POINT (2219.8260684160687 4760.894146360397),327
128,611.76,1,3,POINT (594.1753774303138 2403.8281021650228),732
129,1100.99,3,3,POINT (443.80939818041793 867.2659026336462),383
130,1057.39,4,1,POINT (938.4013345840708 2602.3680896152773),993
131,883.35,3,3,POINT (1077.1966163721875 438.75125116862),796
132,794.25,2,4,POINT (1407.6656151449383 3490.8932244227935),602
133,1458.69,4,1,POINT (2173.452436668227 4063.6161001643227),980
134,707.78,3,4,POINT (1999.4807201499916 5322.478792532552),237
135,1458.69,4,1,POINT (579.159003004695 1695.6403485424544),432
136,1002.23,3,3,POINT (1488.4782480253098 3490.8932244227935),602
137,1106.22,4,3,POINT (1366.2417429682478 4715.042752897177),569
138,974.58,4,2,POINT (1417.1760566368287 3332.468498865699),934
139,778.3,2,3,POINT (110.29459020492618 509.20279882430367),152
140,974.58,4,2,POINT (-743.2711419765976 1202.2448903827144),731
141,1301.56,4,2,POINT (585.7918117851856 3538.798388512636),931
142,821.71,4,4,POINT (2019.6978881201785 5313.8750965461),237
143,1161.34,3,4,POINT (570.1800581413731 2009.2256702162454),497
144,433.45,1,3,POINT (1243.5288423672143 1540.866730285462),199
145,1031.49,3,2,POINT (2034.7732177424082 4443.291111659446),18
146,842.94,4,1,POINT (2424.172931701708 5455.838130825372),141
147,1121.11,3,2,POINT (588.4497540905923 3728.438009394122),440
148,742.53,3,3,POINT (1714.3338865616502 3405.8116548795947),860
149,982.11,3,4,POINT (117.85379974017562 528.5651695902775),152
150,1046.12,3,4,POINT (602.8715954619006 3273.1076841633053),538
151,554.01,1,1,POINT (1814.1135831871466 4467.798948828751),427
152,885.67,3,2,POINT (-1598.21244043112 1727.7262699483656),927
153,351.15,1,2,POINT (-1352.9677515710423 2071.8671276366276),122
154,839.46,3,2,POINT (2191.451754179263 4945.821523930677),907
155,419.73,1,1,POINT (-1482.9006353258396 978.7361235112637),188
156,422.08,1,3,POINT (-1504.9375535551637 1889.1871542928043),380
157,897.98,3,1,POINT (108.81990914067616 419.4665645079349),902
158,844.17,3,1,POINT (1257.621374760071 1325.0110749437667),926
159,1375.32,3,2,POINT (529.0336503746969 4425.668816338874),975
160,482.83,1,2,POINT (-1678.956089260646 1058.0054823141882),515
161,366.69,1,2,POINT (1780.2174866687778 3286.2648681083224),495
162,872.66,4,4,POINT (611.4908765632159 219.48815777815366),801
163,899.81,3,3,POINT (-1769.0439621721453 882.4962734528258),405
164,851.43,4,2,POINT (1789.4153053376972 3327.219248047262),495
165,951.22,4,1,POINT (54.252261391318044 22.160978120468585),958
166,810.2,3,1,POINT (618.624018010996 419.60786747728764),564
167,560.55,1,3,POINT (626.6940506272085 626.2207921626187),477
168,749.32,2,4,POINT (-456.33824767475664 1395.2821634910958),685
169,688.44,2,4,POINT (1409.3995291046801 3410.1712682211246),83
170,1458.69,4,2,POINT (2115.8452080908246 4022.553466142911),980
171,768.16,2,4,POINT (1066.5144835227188 676.0876893531632),340
172,974.58,4,1,POINT (-742.7834309303769 1310.2690344011835),13
173,1318.55,4,3,POINT (575.2723656452083 1934.9819067615026),301
174,773.62,3,3,POINT (1489.1363131755288 3323.1177012933736),542
175,441.68,1,4,POINT (1044.708962788913 438.75125116862),796
176,811.09,4,4,POINT (1749.5557672904667 5173.115168698089),469
177,366.69,1,3,POINT (1771.0196679998585 3327.219248047262),495
178,811.09,4,4,POINT (1749.5557672904667 5318.390261574644),469
179,1042.53,4,3,POINT (1162.7744869257785 1181.2384378527659),385
180,1014.55,2,2,POINT (-185.9292838076562 1611.8386125804955),752
181,673.03,1,2,POINT (588.1769004542509 1477.886760892753),699
182,1426.84,4,1,POINT (211.3696559795059 1211.4952428425088),878
183,581.19,2,3,POINT (1789.4153053376972 3245.3104881693826),495
184,760.91,2,2,POINT (810.2347020030995 406.6006228343067),368
185,751.67,3,4,POINT (1186.9602009739194 3164.371227730754),111
186,567.87,1,2,POINT (1585.0218870416406 4034.334999464847),854
187,720.58,3,4,POINT (1792.288740518518 3445.633257478743),988
188,749.32,2,4,POINT (1259.7550319545578 4768.65403499302),741
189,363.03,1,2,POINT (2424.172931701708 5373.974229311336),141
190,1174.17,4,3,POINT (-1021.5011386286116 1340.518679223127),952
191,742.53,3,4,POINT (1714.3338865616502 3363.864233591916),860
192,1075.42,2,1,POINT (537.5487781075327 4325.595357065675),361
193,775.45,3,4,POINT (2488.0670182344566 4043.9132725302534),813
194,1556.36,4,2,POINT (975.8759448586605 4561.888356150041),906
195,523.06,1,1,POINT (615.3098822064323 3201.003200456854),538
196,1556.36,4,4,POINT (1024.2373011492627 4571.087727993299),906
197,917.25,4,1,POINT (-1924.0150288435416 806.806476956023),233
198,801.49,2,2,POINT (429.89792875971733 2384.9383099256006),831
199,534.03,1,1,POINT (2253.3211062717032 4060.9279154409005),377
200,898.14,4,1,POINT (1507.010846989271 3315.30261659745),542
201,866.89,3,4,POINT (2243.65076387146 5111.970793148292),817
202,1066.73,2,1,POINT (504.51046378057964 1477.886760892753),699
203,421.56,1,1,POINT (1309.4859527614321 3221.877213215748),189
204,1144.44,4,1,POINT (-1300.805765710241 1364.9315243240492),579
205,976.62,3,1,POINT (978.0246375468089 519.2987394027598),73
206,726.13,2,4,POINT (-322.33161360663064 1859.8642843940092),1027
207,1163.55,4,3,POINT (228.4292416265319 867.1341662098823),90
208,1121.11,3,1,POINT (626.6940506272085 683.4894163258487),477
209,1001.51,2,2,POINT (1313.929347588717 4437.056256727496),33
210,1340.57,3,4,POINT (927.5145885680583 4571.087727993299),906
211,1114.72,4,1,POINT (-341.9635948004018 1222.5966329871515),922
212,1057.1,3,2,POINT (760.1396513161246 552.1833031600662),889
213,360.29,1,4,POINT (-1938.2472218346602 1979.5064750943288),444
214,396.87,1,2,POINT (-1776.287643757848 1691.4138204277806),14
215,626.12,2,2,POINT (1491.7960329571924 3427.9695688061133),463
216,372.18,1,2,POINT (1237.672759957125 509.5167099593709),1010
217,859.92,4,2,POINT (-1814.2799437817475 2058.9072198973454),826
218,1046.12,3,4,POINT (670.1689976887128 2914.164152928107),574
219,778.3,2,1,POINT (501.0400177552985 2280.4328579134835),61
220,497.46,1,3,POINT (-1463.3223401542623 1434.06326575734),904
221,815.34,4,2,POINT (-1328.614452264042 2191.428689360829),122
222,997.94,4,4,POINT (2290.5910081414113 5274.6845577950235),533
223,480.08,1,3,POINT (-316.8237844549418 1215.0646778381442),922
224,1146.57,4,4,POINT (-1523.8706632785425 1169.004024369608),792
225,899.81,3,1,POINT (-1702.6309524777125 953.9051307338227),405
226,865.27,2,4,POINT (-1569.325067975467 1491.8920035166705),772
227,1031.49,3,4,POINT (2019.394740906645 4428.250569679832),18
228,551.41,1,3,POINT (-1671.4929244370555 1366.9473948050827),992
229,724.24,3,1,POINT (-1423.5831222046177 1973.3137542599502),117
230,486.97,1,3,POINT (-844.9094888728669 1637.234473188592),65
231,801.49,2,2,POINT (1304.8852088806348 3526.737489827947),5
232,1029.66,3,2,POINT (660.5655256890598 3301.571172472214),473
233,501.11,1,2,POINT (-417.1527159269059 1687.149635267406),212
234,1278.21,4,3,POINT (581.2159665156607 3478.279908695121),763
235,452.65,1,3,POINT (1209.9860453247898 4886.716681195225),384
236,802.94,2,2,POINT (-1025.4630206407976 1458.3944579281979),961
237,545.92,1,4,POINT (-1608.6585234461477 1544.2289560257962),772
238,969.31,3,1,POINT (1066.5144835227188 620.7977433873273),340
239,542.26,1,3,POINT (2103.6301776944765 4230.016526529294),397
240,821.17,3,3,POINT (-799.3152793914082 1344.339855881131),443
241,781.2,2,2,POINT (-1613.469903775158 1032.3722168864751),979
242,885.67,3,3,POINT (-1598.21244043112 1771.5831927984939),927
243,600.03,2,2,POINT (-1511.4440690712386 1994.4821122365117),147
244,851.43,4,1,POINT (1780.2174866687778 3286.2648681083224),495
245,665.25,2,2,POINT (1404.7963985230203 3346.4336047045435),934
246,920.34,2,1,POINT (578.7032533807514 1987.7204876127382),497
247,1031.49,3,4,POINT (2050.1516945781714 4458.331653639059),18
248,1140.2,4,3,POINT (-1347.6258132253356 1515.3839316514275),296
249,866.89,3,4,POINT (1266.6164230551626 1145.204402276759),251
250,419.73,1,4,POINT (2191.451754179263 5018.857189580738),907
251,888.46,2,2,POINT (-1128.5198493848643 1362.9924197614246),722
252,1130.71,4,1,POINT (-752.3428065881178 1648.402113854796),65
253,1014.55,2,1,POINT (-251.00900331016118 1611.8386125804955),752
254,484.86,1,2,POINT (891.3763498946672 447.53857647321206),706
255,1100.99,3,3,POINT (397.426808801943 867.2659026336462),383
256,419.73,1,1,POINT (2179.5103652880916 5037.116105993253),907
257,1121.11,3,3,POINT (593.9684897030291 3555.941753443666),931
258,1097.73,4,4,POINT (-616.6770085965111 1594.7357685416468),530
259,496.54,1,4,POINT (-1608.0622168774594 1614.4266654822773),153
260,859.92,4,1,POINT (-1775.4878069843899 1991.4834388940735),726
261,1475.67,4,3,POINT (1314.7768850305797 3620.3684115523793),825
262,1296.68,3,1,POINT (415.48761828278106 1115.3172438532276),920
263,1223.52,3,3,POINT (607.6839706255785 2383.4941895708853),732
264,872.66,4,1,POINT (1194.7916818961926 3181.0148693811975),111
265,1061.63,4,4,POINT (-418.9564517321169 1758.1706991335109),955
266,687,2,2,POINT (1274.2715913565519 1163.5051209752276),251
267,974.58,4,3,POINT (-1382.1043223748356 743.9345186373619),31
268,1290.95,4,1,POINT (850.9574086839068 622.4197746424134),265
269,1174.17,4,1,POINT (444.6663981743767 2473.86278175169),831
270,1144.44,4,3,POINT (-1626.6176882627205 861.6853555720826),979
271,940.61,4,2,POINT (608.9711401040506 396.19646966521736),564
272,360.29,1,3,POINT (1784.5159809592985 3423.2709297455353),988
273,586.99,2,1,POINT (-1702.1057284608669 2048.2715608575318),826
274,1313.14,3,4,POINT (402.58730016795977 1277.5668911760006),597
275,455.39,1,1,POINT (930.4769772794355 2579.157628965904),993
276,571.05,2,4,POINT (1792.288740518518 3445.633257478743),988
277,790.08,3,1,POINT (1471.614073384596 3419.399761740284),463
278,472.77,1,3,POINT (-113.03991250386886 1301.5097261478595),845
279,665.25,2,2,POINT (2179.5103652880916 4964.080440343192),907
280,573.36,1,2,POINT (53.139653304594646 1093.9774101968076),319
281,900.05,2,2,POINT (1603.441866432816 4025.5633312874506),854
282,781.2,2,2,POINT (-1626.6176882627205 998.2348446235967),979
283,1313.14,3,3,POINT (418.37124612067504 1258.1987231213232),597
284,829.03,2,2,POINT (678.0809284400252 2936.8175399850243),574
285,969.72,3,1,POINT (967.3518356348546 407.9373383298725),706
286,635.54,1,3,POINT (1273.5650927422346 3620.3684115523793),825
287,1420.47,4,4,POINT (378.0383448842405 4256.794454931614),1038
288,715.98,2,1,POINT (-1628.8496403161969 797.2604866084483),195
289,751.67,3,4,POINT (1671.2103741323417 3222.1061909778978),138
290,534.03,1,4,POINT (-1287.3106969544465 1243.525072592241),999
291,556.55,2,3,POINT (-1352.9677515710423 2095.779439981468),122
292,974.58,4,3,POINT (-1481.3778050243195 1057.4434805077979),207
293,1125.33,4,3,POINT (1985.9122139703982 4267.187714177428),603
294,1053.44,3,2,POINT (146.6881939034078 871.1354577804497),298
295,953.35,4,1,POINT (-784.3330954956155 1386.6747990291974),443
296,375.84,1,2,POINT (1186.9602009739194 3164.371227730754),111
297,749.32,2,3,POINT (-493.7268707520858 1395.2821634910958),685
298,715.09,3,4,POINT (-1950.1123675186413 2081.396323862277),697
299,1318.55,4,1,POINT (1585.0218870416406 4034.334999464847),854
300,945.53,3,3,POINT (1042.202099359281 1249.4662826254512),144
301,573.95,2,3,POINT (-1435.4128878299682 2057.4318747557327),1013
302,995.81,4,2,POINT (2404.627242815819 4176.734809008961),94
303,526.72,1,1,POINT (827.2578682450712 2504.344795859811),625
304,901.64,3,3,POINT (-929.4028976848099 1195.4647478482643),956
305,1140.2,4,1,POINT (-1314.7371664180082 1533.975181433132),296
306,898.14,4,4,POINT (2066.7737105199117 4943.225138225304),840
307,850.82,2,3,POINT (860.9945667525155 1631.175142849736),839
308,348.4,1,1,POINT (1801.8258558068285 5166.503222823775),764
309,573.95,2,4,POINT (-1530.7039862202507 2057.4318747557327),1013
310,1053.44,3,2,POINT (-1404.6528240634896 1237.862916004378),359
311,1042.53,4,3,POINT (2219.5243395151356 4681.012973062729),462
312,749.32,2,3,POINT (-698.2068467228966 1573.275050194495),530
313,920.34,2,3,POINT (570.1800581413731 2009.2256702162454),497
314,419.73,1,2,POINT (-1473.1756324816884 954.9226790202229),188
315,993.08,3,2,POINT (-1353.5143555573688 1448.7869027369825),903
316,857.75,3,3,POINT (2433.1999605845467 4131.73023323269),94
317,888.46,2,2,POINT (635.5770112166806 669.1722602850411),477
318,1121.09,4,3,POINT (-1716.8491458520348 1058.0054823141882),515
319,940.61,4,3,POINT (2415.5735727745396 4380.230108239373),328
320,698.59,2,3,POINT (-486.82641406796574 1855.0243750092998),43
321,1179.63,3,1,POINT (611.3346599759675 2266.011783648469),895
322,846.42,2,4,POINT (2233.214439882725 4053.359048843635),377
323,888.46,2,4,POINT (596.9577270734897 3757.22103720393),440
324,1140.2,4,1,POINT (110.29459020492618 509.20279882430367),152
325,914.44,3,2,POINT (1250.452126424467 4840.237968877947),519
326,813.85,3,3,POINT (1236.8571929820146 3223.993525125278),24
327,406.93,1,3,POINT (1236.8571929820146 3263.0399509679964),24
328,605.36,1,1,POINT (702.7985195447246 770.6023644066158),698
329,839.46,3,2,POINT (-1372.0698972718264 721.8870614993035),31
330,985.77,3,1,POINT (-1494.06328512661 1355.5905653690263),579
331,406.93,1,1,POINT (1194.0937142886232 3263.0399509679964),24
332,864.17,4,2,POINT (1224.5522042797265 446.99105466749427),1010
333,859.47,2,3,POINT (2149.658693190787 4230.016526529294),397
334,823,3,2,POINT (-12.938059864070794 46.52518871810904),628
335,1023.42,4,3,POINT (1239.2378971245196 1656.3229378610915),681
336,900.05,2,1,POINT (567.7208874125674 1914.3615429683741),301
337,857.75,3,1,POINT (2423.102047054637 4028.0627609900757),97
338,1239.99,4,3,POINT (-1239.4735247390663 1243.525072592241),999
339,491.06,1,1,POINT (117.85379974017562 528.5651695902775),152
340,1023.42,4,3,POINT (2335.7599633676155 4060.793776557666),133
341,433.45,1,3,POINT (1251.8007432813702 1567.863619897268),199
342,1029.66,3,2,POINT (2133.1909948320235 4335.0803589938605),921
343,960.16,3,2,POINT (-792.7604593243414 1573.503621101712),374
344,615.98,2,4,POINT (2217.5168940808653 4848.952197366105),520
345,516.66,1,1,POINT (141.3756574117688 799.1239162888926),553
346,567.87,1,2,POINT (582.9124582493545 1776.051722536382),834
347,472.77,1,3,POINT (-432.80449585378426 1237.8611751650446),167
348,978.83,4,1,POINT (1309.4859527614321 3257.1881835177824),189
349,715.09,3,1,POINT (-1354.973768504102 1981.2146090058627),266
350,484.65,1,3,POINT (1077.6979444315298 648.4427163702453),340
351,815.99,2,4,POINT (669.5108365380436 3276.917186613041),473
352,696.8,3,1,POINT (-1406.4414272258414 2146.9787804386006),809
353,969.72,3,1,POINT (891.3763498946672 407.9373383298725),706
354,480.08,1,2,POINT (-341.9635948004018 1222.5966329871515),922
355,558,2,2,POINT (-2025.813803104962 2039.3990990051875),217
356,945.53,3,3,POINT (1420.1639208310576 4930.580077677792),799
357,1596.7,4,1,POINT (514.6516825213868 4443.564636872896),975
358,973.97,2,1,POINT (191.46459904909923 1226.126932955182),878
359,1140.2,4,1,POINT (-1314.7371664180082 1496.7926818697229),296
360,859.92,4,1,POINT (-1851.6713488887076 2048.2715608575318),826
361,866.89,3,4,POINT (1235.2569414530585 1513.8698406736557),199
362,631.88,1,3,POINT (1275.8302520779328 4437.056256727496),33
363,859.92,4,3,POINT (-1775.4878069843899 1991.4834388940735),726
364,864.17,4,4,POINT (1250.7933156345234 572.0423652512476),1010
365,698.59,2,1,POINT (967.0498054893425 343.3889251176581),1039
366,787,2,1,POINT (938.0734960743036 2479.2746287383034),798
367,720.58,3,2,POINT (2035.1726279289167 4888.173729217788),819
368,744.36,3,3,POINT (1224.5522042797265 540.7795376053093),1010
369,1066.73,2,2,POINT (504.51046378057964 1516.0341391439815),699
370,793.74,3,1,POINT (1562.957383872136 3260.773730909349),682
371,586.99,2,2,POINT (-1627.3229182469468 2048.2715608575318),826
372,829.03,2,3,POINT (607.4422584943111 2897.2122199187506),771
373,829.03,2,4,POINT (2222.694117829342 4594.880339745687),200
374,859.92,4,2,POINT (-1775.4878069843899 1991.4834388940735),726
375,1008.55,4,1,POINT (1394.7568559247914 3429.6250634368434),83
376,872.51,2,1,POINT (589.7126864665483 3461.117029912494),763
377,422.08,1,2,POINT (690.5162379978467 335.2976113816195),245
378,1097.73,4,1,POINT (1300.191531615812 4736.919919969827),741
451,427.93,1,2,POINT (-2523.1520452086224 3056.814237716957),22
452,370.98,1,2,POINT (-2477.8425329732463 2500.334944268336),777
453,388.88,1,4,POINT (-1308.782036561594 3296.1784824962406),1025
454,742.72,2,4,POINT (-1125.4321453611485 4009.136028156402),293
455,925.62,4,1,POINT (-1333.0886323717586 2688.886124497062),661
