participantId,householdSize,haveKids,age,educationLevel,interestGroup,joviality
0,3,TRUE,36,HighSchoolOrCollege,H,0.001626703
1,3,TRUE,25,HighSchoolOrCollege,B,0.3280865
2,3,TRUE,35,HighSchoolOrCollege,A,0.39346959
3,3,TRUE,21,HighSchoolOrCollege,I,0.138063446
4,3,TRUE,43,Bachelors,H,0.857396691
5,3,TRUE,32,HighSchoolOrCollege,D,0.772957791
6,3,TRUE,26,HighSchoolOrCollege,I,0.833980668
7,3,TRUE,27,Bachelors,A,0.958189409
8,3,TRUE,20,Bachelors,G,0.697554819
9,3,TRUE,35,Bachelors,D,0.467131409
10,3,TRUE,48,HighSchoolOrCollege,D,0.557176006
11,3,TRUE,27,HighSchoolOrCollege,F,0.25422732
12,3,TRUE,34,HighSchoolOrCollege,D,0.241615182
13,3,TRUE,18,Bachelors,J,0.724503834
14,3,TRUE,38,Graduate,H,0.930003289
15,3,TRUE,35,HighSchoolOrCollege,I,0.232266068
16,3,TRUE,39,Bachelors,J,0.392189088
17,3,TRUE,57,Bachelors,I,0.114667399
18,3,TRUE,20,Graduate,I,0.32696558
19,3,TRUE,25,Bachelors,B,0.486470164
20,3,TRUE,41,HighSchoolOrCollege,I,0.619057739
21,3,TRUE,35,Low,E,0.931240975
22,3,TRUE,25,HighSchoolOrCollege,E,0.663815663
23,3,TRUE,57,Low,B,0.260211811
24,3,TRUE,44,Bachelors,D,0.607328128
25,3,TRUE,38,HighSchoolOrCollege,J,0.520535752
26,3,TRUE,28,HighSchoolOrCollege,F,0.549177225
27,3,TRUE,45,HighSchoolOrCollege,D,0.135148815
28,3,TRUE,54,Bachelors,A,0.230073813
29,3,TRUE,18,Low,C,0.607853294
30,3,TRUE,49,HighSchoolOrCollege,C,0.681423545
31,3,TRUE,40,Graduate,F,0.23266675
32,3,TRUE,33,HighSchoolOrCollege,C,0.189498641
33,3,TRUE,21,Bachelors,D,0.094585958
34,3,TRUE,23,Low,B,0.767112453
35,3,TRUE,20,Low,J,0.707950782
36,3,TRUE,41,Graduate,G,0.348019484
37,3,TRUE,54,HighSchoolOrCollege,G,0.174975799
38,3,TRUE,34,Low,D,0.215116214
39,3,TRUE,54,Bachelors,G,0.862950926
40,3,TRUE,55,Low,I,0.880410054
41,3,TRUE,41,HighSchoolOrCollege,F,0.863663966
42,3,TRUE,24,HighSchoolOrCollege,J,0.055283617
43,3,TRUE,48,Bachelors,E,0.045228735
44,3,TRUE,39,Low,C,0.976499153
45,3,TRUE,50,Graduate,E,0.179657824
46,3,TRUE,47,HighSchoolOrCollege,D,0.225049088
47,3,TRUE,58,HighSchoolOrCollege,C,0.424159724
48,3,TRUE,42,HighSchoolOrCollege,F,0.485827661
49,3,TRUE,54,Graduate,D,0.229589642
50,3,TRUE,45,HighSchoolOrCollege,H,0.576174771
51,3,TRUE,26,Graduate,G,0.374354513
52,3,TRUE,39,HighSchoolOrCollege,B,0.730126771
53,3,TRUE,19,Low,H,0.140697641
54,3,TRUE,32,Graduate,I,0.778504463
55,3,TRUE,37,HighSchoolOrCollege,J,0.770806686
56,3,TRUE,40,Graduate,G,0.734056857
57,3,TRUE,56,Graduate,A,0.422849796
58,3,TRUE,40,Graduate,J,0.192945633
59,3,TRUE,35,Bachelors,C,0.186308253
60,3,TRUE,46,HighSchoolOrCollege,D,0.411129251
61,3,TRUE,44,HighSchoolOrCollege,F,0.598278749
62,3,TRUE,57,Bachelors,A,0.491406814
63,3,TRUE,36,HighSchoolOrCollege,G,0.583943591
64,3,TRUE,52,HighSchoolOrCollege,I,0.330606159
65,3,TRUE,23,HighSchoolOrCollege,I,0.498178653
66,3,TRUE,51,Bachelors,J,0.773765426
67,3,TRUE,19,HighSchoolOrCollege,C,0.438788793
68,3,TRUE,42,HighSchoolOrCollege,G,0.519538618
69,3,TRUE,24,Bachelors,B,0.743901318
70,3,TRUE,49,HighSchoolOrCollege,D,0.72544679
71,3,TRUE,59,Bachelors,J,0.947066909
72,3,TRUE,21,Bachelors,B,0.218744284
73,3,TRUE,32,Bachelors,H,0.381370977
74,3,TRUE,48,HighSchoolOrCollege,B,0.904601349
75,2,FALSE,59,HighSchoolOrCollege,A,0.791342831
76,2,FALSE,34,HighSchoolOrCollege,I,0.362917704
77,2,FALSE,20,HighSchoolOrCollege,C,0.621716267
78,2,FALSE,24,Graduate,B,0.188638917
79,2,FALSE,56,HighSchoolOrCollege,C,0.03403389
80,2,FALSE,59,HighSchoolOrCollege,E,0.40138993
81,2,FALSE,27,Graduate,D,0.871320255
82,2,FALSE,40,Graduate,H,0.955760648
83,2,FALSE,53,HighSchoolOrCollege,C,0.027148207
84,2,FALSE,33,HighSchoolOrCollege,J,0.455102277
85,2,FALSE,45,HighSchoolOrCollege,A,0.354510651
86,2,FALSE,31,HighSchoolOrCollege,C,0.399201318
87,2,FALSE,58,HighSchoolOrCollege,A,0.725176476
88,2,FALSE,20,HighSchoolOrCollege,A,0.746921002
89,2,FALSE,54,HighSchoolOrCollege,J,0.169054036
90,2,FALSE,20,HighSchoolOrCollege,E,0.139818869
91,2,FALSE,41,HighSchoolOrCollege,E,0.733204092
92,2,FALSE,43,HighSchoolOrCollege,J,0.467868166
93,2,FALSE,48,HighSchoolOrCollege,B,0.580101654
94,2,FALSE,23,Bachelors,C,0.413830119
95,2,FALSE,47,Low,H,0.451218504
96,2,FALSE,23,HighSchoolOrCollege,B,0.504845427
97,2,FALSE,56,Graduate,J,0.679506778
98,2,FALSE,55,HighSchoolOrCollege,B,0.366630644
99,2,FALSE,31,Bachelors,H,0.39686665
100,2,FALSE,29,Low,F,0.142686163
101,2,FALSE,38,HighSchoolOrCollege,A,0.020504586
102,2,FALSE,56,Bachelors,A,0.265501227
103,2,FALSE,18,Bachelors,J,0.194724115
104,2,FALSE,47,HighSchoolOrCollege,F,0.991414933
105,2,FALSE,52,HighSchoolOrCollege,J,0.851915894
106,2,FALSE,34,Bachelors,A,0.700811306
107,2,FALSE,26,HighSchoolOrCollege,C,0.357131296
108,2,FALSE,36,HighSchoolOrCollege,C,0.098903572
109,2,FALSE,52,HighSchoolOrCollege,C,0.290464519
110,2,FALSE,26,HighSchoolOrCollege,D,0.313305546
111,2,FALSE,30,HighSchoolOrCollege,B,0.720330648
112,2,FALSE,23,Graduate,C,0.646977694
113,2,FALSE,51,Graduate,G,0.999233967
114,2,FALSE,55,Graduate,G,0.413490065
115,2,FALSE,56,HighSchoolOrCollege,J,0.57753282
116,2,FALSE,43,Graduate,E,0.30282788
117,2,FALSE,22,Bachelors,F,0.760663448
118,2,FALSE,33,Bachelors,C,0.140611532
119,2,FALSE,32,Graduate,B,0.612907872
120,2,FALSE,31,HighSchoolOrCollege,E,0.876546337
121,2,FALSE,45,HighSchoolOrCollege,F,0.41537229
122,2,FALSE,37,HighSchoolOrCollege,A,0.159723746
123,2,FALSE,43,HighSchoolOrCollege,B,0.118152103
124,2,FALSE,49,Graduate,I,0.14336634
125,2,FALSE,50,Graduate,E,0.150075471
126,2,FALSE,26,HighSchoolOrCollege,A,0.72895287
127,2,FALSE,60,HighSchoolOrCollege,E,0.882038681
128,2,FALSE,57,Bachelors,G,0.718790546
129,2,FALSE,27,HighSchoolOrCollege,B,0.371183768
130,2,FALSE,48,HighSchoolOrCollege,J,0.524660325
131,2,FALSE,26,Bachelors,H,0.802929522
132,2,FALSE,36,Graduate,I,0.540291283
133,2,FALSE,27,HighSchoolOrCollege,I,0.551268581
134,2,FALSE,53,HighSchoolOrCollege,D,0.247000174
135,2,FALSE,59,HighSchoolOrCollege,E,0.86081073
136,2,FALSE,34,Graduate,A,0.555650922
137,2,FALSE,34,HighSchoolOrCollege,C,0.87301128
138,2,FALSE,49,HighSchoolOrCollege,H,0.732757238
139,2,FALSE,48,Bachelors,C,0.846097713
140,2,FALSE,24,Bachelors,I,0.216307476
141,2,FALSE,24,Bachelors,B,0.792161061
142,2,FALSE,24,HighSchoolOrCollege,F,0.789243454
143,2,FALSE,18,HighSchoolOrCollege,A,0.107753878
144,2,FALSE,23,HighSchoolOrCollege,I,0.444080663
145,2,FALSE,30,HighSchoolOrCollege,F,0.882253016
146,2,FALSE,46,HighSchoolOrCollege,J,0.643761923
147,2,FALSE,44,HighSchoolOrCollege,J,0.528698226
148,2,FALSE,37,Bachelors,A,0.266938991
149,2,FALSE,26,Bachelors,A,0.80654106
150,2,FALSE,44,Bachelors,H,0.20807405
151,2,FALSE,46,Low,G,0.159854965
152,2,FALSE,41,HighSchoolOrCollege,I,0.6089739
153,2,FALSE,23,HighSchoolOrCollege,A,0.758079342
154,2,FALSE,29,HighSchoolOrCollege,J,0.954706293
155,2,FALSE,55,Graduate,A,0.176618296
156,2,FALSE,52,HighSchoolOrCollege,J,0.466716971
157,2,FALSE,25,Graduate,J,0.254005742
158,2,FALSE,25,Graduate,J,0.468930899
159,2,FALSE,39,HighSchoolOrCollege,G,0.24297235
160,2,FALSE,52,Bachelors,F,0.168095803
161,2,FALSE,47,HighSchoolOrCollege,A,0.965708743
162,2,FALSE,36,HighSchoolOrCollege,B,0.936659644
163,2,FALSE,26,HighSchoolOrCollege,D,0.225309113
164,2,FALSE,27,Graduate,F,0.812453062
165,2,FALSE,30,Graduate,G,0.964990249
166,2,FALSE,21,Low,A,0.627739055
167,2,FALSE,49,HighSchoolOrCollege,F,0.846680285
168,1,FALSE,48,Graduate,G,0.365595636
169,1,FALSE,24,HighSchoolOrCollege,J,0.364391587
170,1,FALSE,20,Bachelors,G,0.133248852
171,1,FALSE,58,Low,I,0.114389766
172,1,FALSE,38,Graduate,I,0.575001936
173,1,FALSE,19,Graduate,C,0.78521373
174,1,FALSE,43,Graduate,D,0.718049535
175,1,FALSE,22,HighSchoolOrCollege,I,0.481863571
176,1,FALSE,24,Graduate,J,0.931237599
177,1,FALSE,23,HighSchoolOrCollege,E,0.495453274
178,1,FALSE,29,Bachelors,E,0.725246226
179,1,FALSE,44,Bachelors,F,0.900831449
180,1,FALSE,34,Low,H,0.100777319
181,1,FALSE,22,HighSchoolOrCollege,E,0.787497465
182,1,FALSE,26,HighSchoolOrCollege,C,0.839659224
183,1,FALSE,41,Graduate,F,0.109940826
184,1,FALSE,38,HighSchoolOrCollege,G,0.95269116
185,1,FALSE,31,HighSchoolOrCollege,G,0.270514436
186,1,FALSE,38,Graduate,C,0.89222241
187,1,FALSE,44,Low,B,0.207533138
188,1,FALSE,19,Bachelors,D,0.730336584
189,1,FALSE,53,Graduate,E,0.216100876
190,1,FALSE,31,Bachelors,H,0.61053033
191,1,FALSE,48,HighSchoolOrCollege,G,0.447070968
192,1,FALSE,59,HighSchoolOrCollege,I,0.262612842
193,1,FALSE,23,Bachelors,D,0.976160413
194,1,FALSE,23,Bachelors,A,0.162966636
195,1,FALSE,60,Graduate,B,0.058702708
196,1,FALSE,28,Low,I,0.360151845
197,1,FALSE,30,HighSchoolOrCollege,C,0.901982488
198,1,FALSE,39,Bachelors,H,0.321634269
199,1,FALSE,31,HighSchoolOrCollege,A,0.379086335
200,1,FALSE,51,Graduate,H,0.122095522
201,1,FALSE,54,HighSchoolOrCollege,A,0.203183443
202,1,FALSE,25,HighSchoolOrCollege,A,0.985936814
203,1,FALSE,24,HighSchoolOrCollege,J,0.939180121
204,1,FALSE,33,Low,C,0.271944209
205,1,FALSE,37,HighSchoolOrCollege,I,0.194899452
206,1,FALSE,52,HighSchoolOrCollege,D,0.365692745
207,1,FALSE,30,Bachelors,B,0.814611008
208,1,FALSE,56,HighSchoolOrCollege,E,0.371925591
209,1,FALSE,24,HighSchoolOrCollege,C,0.25635218
210,1,FALSE,18,Low,A,0.857673439
211,1,FALSE,20,Bachelors,F,0.214486332
212,1,FALSE,60,HighSchoolOrCollege,D,0.748988452
213,1,FALSE,44,Bachelors,I,0.961066785
214,1,FALSE,33,HighSchoolOrCollege,C,0.300610569
215,1,FALSE,31,Bachelors,A,0.089838002
216,1,FALSE,38,HighSchoolOrCollege,C,0.153900625
217,1,FALSE,57,HighSchoolOrCollege,F,0.948411855
218,1,FALSE,38,HighSchoolOrCollege,B,0.971074532
219,1,FALSE,57,HighSchoolOrCollege,I,0.955659284
220,1,FALSE,56,Graduate,F,0.79251329
221,1,FALSE,50,HighSchoolOrCollege,I,0.727868507
222,1,FALSE,44,HighSchoolOrCollege,G,0.617025806
223,1,FALSE,43,Bachelors,F,0.700821194
224,1,FALSE,41,Low,G,0.28441375
225,1,FALSE,49,HighSchoolOrCollege,E,0.004829228
226,1,FALSE,43,Bachelors,I,0.965943386
227,1,FALSE,59,HighSchoolOrCollege,H,0.490213553
228,1,FALSE,53,Bachelors,J,0.168680628
229,1,FALSE,41,Bachelors,G,0.68602034
230,1,FALSE,52,Bachelors,D,0.004466007
231,1,FALSE,59,HighSchoolOrCollege,A,0.902213545
232,1,FALSE,53,HighSchoolOrCollege,C,0.96685839
233,1,FALSE,38,Graduate,A,0.263283426
234,1,FALSE,43,Graduate,C,0.332411556
235,1,FALSE,29,Graduate,G,0.936585851
236,1,FALSE,44,Low,I,0.10774033
237,1,FALSE,48,Graduate,C,0.110877355
238,1,FALSE,21,Low,A,0.256101892
239,1,FALSE,45,Low,I,0.795405195
240,1,FALSE,21,Graduate,J,0.641752748
241,1,FALSE,30,HighSchoolOrCollege,I,0.088547964
242,1,FALSE,26,Graduate,H,0.113248116
243,1,FALSE,31,HighSchoolOrCollege,H,0.662515201
244,1,FALSE,30,HighSchoolOrCollege,I,0.969991586
245,1,FALSE,52,Graduate,C,0.859058201
246,1,FALSE,30,HighSchoolOrCollege,B,0.968768651
247,1,FALSE,33,Low,B,0.867500339
248,1,FALSE,51,Bachelors,H,0.287889236
249,1,FALSE,25,Graduate,G,0.842954238
250,1,FALSE,59,HighSchoolOrCollege,E,0.627740735
251,1,FALSE,58,HighSchoolOrCollege,D,0.386580333
252,3,TRUE,59,HighSchoolOrCollege,D,0.564718074
253,3,TRUE,43,Graduate,G,0.560328176
254,3,TRUE,23,Bachelors,D,0.17968177
255,3,TRUE,59,HighSchoolOrCollege,H,0.852187763
256,3,TRUE,25,HighSchoolOrCollege,F,0.807211251
257,3,TRUE,24,HighSchoolOrCollege,D,0.405851044
258,3,TRUE,37,Bachelors,G,0.951577316
259,3,TRUE,31,HighSchoolOrCollege,J,0.19286307
260,3,TRUE,52,Graduate,B,0.33366576
261,3,TRUE,29,HighSchoolOrCollege,H,0.465652496
262,3,TRUE,52,HighSchoolOrCollege,F,0.664033926
263,3,TRUE,31,HighSchoolOrCollege,A,0.223825175
264,3,TRUE,28,HighSchoolOrCollege,H,0.106440071
265,3,TRUE,44,Bachelors,D,0.048044295
266,3,TRUE,32,Graduate,F,0.972629863
267,3,TRUE,59,HighSchoolOrCollege,G,0.798810236
268,3,TRUE,53,HighSchoolOrCollege,G,0.041170737
269,3,TRUE,56,HighSchoolOrCollege,F,0.36077235
270,3,TRUE,32,HighSchoolOrCollege,E,0.173976665
271,3,TRUE,57,HighSchoolOrCollege,D,0.331893543
272,3,TRUE,47,HighSchoolOrCollege,F,0.669281126
273,3,TRUE,46,HighSchoolOrCollege,B,0.874083512
274,3,TRUE,44,HighSchoolOrCollege,G,0.79265137
275,3,TRUE,60,HighSchoolOrCollege,F,0.173802734
276,3,TRUE,50,Bachelors,A,0.107405002
277,3,TRUE,34,HighSchoolOrCollege,E,0.836787725
278,3,TRUE,56,Bachelors,B,0.259541618
279,3,TRUE,23,HighSchoolOrCollege,A,0.811965348
280,3,TRUE,25,Bachelors,J,0.102762652
281,3,TRUE,27,HighSchoolOrCollege,C,0.478284265
282,3,TRUE,38,HighSchoolOrCollege,B,0.109360456
283,3,TRUE,60,Graduate,D,0.880967299
284,3,TRUE,52,HighSchoolOrCollege,B,0.754293139
285,3,TRUE,45,HighSchoolOrCollege,A,0.897884327
286,3,TRUE,20,HighSchoolOrCollege,E,0.476984055
287,3,TRUE,51,HighSchoolOrCollege,E,0.599616007
288,3,TRUE,34,HighSchoolOrCollege,C,0.910143395
289,3,TRUE,35,Graduate,E,0.955240694
290,3,TRUE,43,Graduate,A,0.271552097
291,3,TRUE,37,Low,E,0.370084679
292,3,TRUE,27,Bachelors,B,0.686374918
293,3,TRUE,31,HighSchoolOrCollege,F,0.126082302
294,3,TRUE,24,HighSchoolOrCollege,G,0.847052228
295,3,TRUE,41,Graduate,F,0.439355556
296,3,TRUE,39,Graduate,H,0.548350934
297,3,TRUE,53,HighSchoolOrCollege,D,0.057905387
298,3,TRUE,45,HighSchoolOrCollege,G,0.852555697
299,3,TRUE,35,HighSchoolOrCollege,I,0.5149016
300,3,TRUE,58,HighSchoolOrCollege,H,0.21434781
301,3,TRUE,46,Low,J,0.873371058
302,3,TRUE,44,HighSchoolOrCollege,A,0.254585434
303,3,TRUE,34,Graduate,F,0.543218407
304,3,TRUE,50,HighSchoolOrCollege,H,0.183595892
305,3,TRUE,31,Bachelors,C,0.84325552
306,3,TRUE,49,HighSchoolOrCollege,I,0.260386143
307,3,TRUE,38,Graduate,H,0.962210067
308,3,TRUE,30,HighSchoolOrCollege,F,0.172405182
309,3,TRUE,30,HighSchoolOrCollege,E,0.125682773
310,3,TRUE,29,HighSchoolOrCollege,H,0.061286668
311,3,TRUE,45,HighSchoolOrCollege,D,0.699020662
312,3,TRUE,42,HighSchoolOrCollege,A,0.260798961
313,3,TRUE,55,Low,I,0.093271632
314,3,TRUE,20,HighSchoolOrCollege,H,0.633335142
315,3,TRUE,25,Graduate,B,0.287666416
316,3,TRUE,34,HighSchoolOrCollege,H,0.175386489
317,3,TRUE,52,Low,G,0.494087429
318,3,TRUE,55,HighSchoolOrCollege,F,0.473772081
319,3,TRUE,32,Low,B,0.253614379
320,3,TRUE,53,Bachelors,G,0.477539156
321,3,TRUE,18,Graduate,F,0.842877969
322,3,TRUE,59,HighSchoolOrCollege,I,0.650831243
323,3,TRUE,31,Graduate,B,0.757226712
324,3,TRUE,48,HighSchoolOrCollege,C,0.122182828
325,3,TRUE,19,HighSchoolOrCollege,I,0.480441948
326,3,TRUE,24,Bachelors,F,0.654885921
327,2,FALSE,55,HighSchoolOrCollege,C,0.228872071
328,2,FALSE,51,Low,H,0.346047608
329,2,FALSE,53,Bachelors,J,0.085267909
330,2,FALSE,25,Graduate,G,0.7738118
331,2,FALSE,18,Graduate,G,0.417763616
332,2,FALSE,23,Bachelors,H,0.323175901
333,2,FALSE,37,Bachelors,G,0.299174844
334,2,FALSE,22,Bachelors,J,0.103185768
335,2,FALSE,47,Graduate,H,0.328727521
336,2,FALSE,56,Graduate,G,0.600454813
337,2,FALSE,58,Graduate,B,0.108965479
338,2,FALSE,52,HighSchoolOrCollege,H,0.713809975
