ID,CLASS,GENDER,RACE,ENGLISH,MATHS,SCIENCE
Student321,3I,Male,Malay,21,9,15
Student305,3I,Female,Malay,24,22,16
Student289,3H,Male,Chinese,26,16,16
Student227,3F,Male,Chinese,27,77,31
Student318,3I,Male,Malay,27,11,25
Student306,3I,Female,Malay,31,16,16
Student313,3I,Male,Chinese,31,21,25
Student316,3I,Male,Malay,31,18,27
Student312,3I,Male,Malay,33,19,15
Student297,3H,Male,Indian,34,49,37
Student314,3I,Male,Chinese,34,39,42
Student278,3H,Female,Malay,36,35,22
Student302,3I,Female,Chinese,36,23,32
Student323,3I,Male,Chinese,36,36,36
Student296,3H,Male,Chinese,37,49,35
Student311,3I,Female,Chinese,38,30,45
Student304,3I,Female,Malay,39,21,21
Student307,3I,Female,Malay,39,24,35
Student259,3G,Male,Malay,40,54,26
Student273,3H,Female,Malay,40,36,24
Student292,3H,Male,Malay,40,40,31
Student303,3I,Female,Malay,40,20,32
Student177,3E,Male,Chinese,41,71,40
Student253,3G,Male,Others,41,51,37
Student294,3H,Male,Malay,41,32,26
Student287,3H,Male,Malay,42,32,27
Student293,3H,Male,Malay,42,37,23
Student290,3H,Male,Malay,43,30,31
Student295,3H,Male,Indian,43,35,38
Student319,3I,Male,Indian,43,25,24
Student309,3I,Female,Malay,44,24,24
Student315,3I,Male,Malay,44,19,35
Student288,3H,Male,Chinese,45,50,27
Student301,3I,Female,Malay,45,32,30
Student248,3G,Male,Chinese,46,55,17
Student277,3H,Female,Malay,46,31,34
Student171,3E,Female,Chinese,48,56,49
Student324,3I,Male,Chinese,48,41,41
Student258,3G,Male,Malay,49,30,32
Student282,3H,Female,Chinese,49,44,19
Student298,3H,Male,Malay,49,41,32
Student317,3I,Male,Malay,49,34,31
Student276,3H,Female,Malay,50,35,40
Student286,3H,Male,Malay,50,56,36
Student310,3I,Female,Malay,50,58,50
Student215,3F,Female,Chinese,51,74,54
Student200,3F,Female,Chinese,52,71,47
Student202,3F,Female,Chinese,52,55,39
Student264,3G,Male,Indian,52,42,16
Student322,3I,Male,Malay,52,58,41
Student117,3C,Male,Chinese,53,90,46
Student199,3F,Female,Chinese,53,77,57
Student251,3G,Male,Chinese,53,51,45
Student320,3I,Male,Malay,53,25,48
Student188,3E,Male,Chinese,54,65,40
Student231,3F,Male,Chinese,54,78,60
Student255,3G,Male,Chinese,54,54,32
Student262,3G,Male,Malay,54,59,45
Student265,3G,Male,Chinese,54,38,46
Student271,3H,Female,Chinese,54,52,52
Student272,3H,Female,Malay,54,33,37
Student279,3H,Female,Indian,54,48,53
Student283,3H,Female,Malay,55,43,45
Student284,3H,Female,Chinese,55,56,45
Student241,3G,Female,Malay,56,52,57
Student261,3G,Male,Malay,56,37,34
Student291,3H,Male,Malay,56,44,46
Student299,3H,Male,Malay,56,52,59
Student198,3F,Female,Chinese,57,74,62
Student201,3F,Female,Chinese,57,67,67
Student212,3F,Female,Malay,57,63,55
Student226,3F,Male,Malay,57,75,58
Student240,3G,Female,Malay,57,49,45
Student266,3G,Female,Chinese,57,47,64
Student274,3H,Female,Malay,57,50,39
Student179,3E,Male,Chinese,58,69,57
Student185,3E,Male,Malay,58,78,66
Student224,3F,Male,Malay,58,64,60
Student280,3H,Female,Malay,58,47,47
Student281,3H,Female,Indian,58,40,46
Student163,3E,Female,Malay,59,58,36
Student225,3F,Male,Malay,59,74,45
Student115,3C,Male,Chinese,60,72,52
Student203,3F,Female,Chinese,60,75,61
Student246,3G,Female,Malay,60,43,44
Student263,3G,Male,Indian,60,68,63
Student082,3C,Female,Chinese,61,85,68
Student114,3C,Male,Chinese,61,79,50
Student119,3D,Female,Chinese,61,62,49
Student191,3E,Male,Chinese,61,88,52
Student206,3F,Female,Malay,61,62,55
Student219,3F,Male,Malay,61,63,60
Student244,3G,Female,Malay,61,58,46
Student269,3H,Female,Chinese,61,52,46
Student186,3E,Male,Chinese,62,85,74
Student189,3E,Male,Chinese,62,58,59
Student210,3F,Female,Chinese,62,74,68
Student221,3F,Male,Malay,62,58,58
Student245,3G,Female,Malay,62,45,52
Student260,3G,Male,Malay,62,79,57
Student085,3C,Female,Chinese,63,64,49
Student106,3C,Male,Chinese,63,84,44
Student148,3D,Male,Chinese,63,74,63
Student220,3F,Male,Chinese,63,71,64
Student235,3G,Female,Malay,63,50,48
Student270,3H,Female,Chinese,63,70,53
Student285,3H,Female,Chinese,63,46,50
Student300,3H,Female,Others,63,67,65
Student141,3D,Male,Indian,64,78,76
Student157,3E,Female,Chinese,64,66,67
Student175,3E,Male,Malay,64,66,54
Student176,3E,Male,Chinese,64,64,49
Student184,3E,Male,Malay,64,65,63
Student209,3F,Female,Malay,64,69,55
Student252,3G,Male,Chinese,64,36,41
Student275,3H,Female,Malay,64,54,54
Student098,3C,Male,Chinese,65,90,63
Student105,3C,Male,Chinese,65,80,73
Student155,3D,Male,Chinese,65,68,66
Student156,3E,Female,Chinese,65,78,65
Student167,3E,Female,Malay,65,79,51
Student228,3F,Male,Malay,65,65,60
Student234,3G,Female,Malay,65,49,41
Student238,3G,Female,Chinese,65,81,78
Student133,3D,Female,Malay,66,76,56
Student162,3E,Female,Malay,66,61,56
Student180,3E,Male,Chinese,66,71,72
Student197,3F,Female,Chinese,66,72,61
Student208,3F,Female,Malay,66,64,69
Student213,3F,Female,Malay,66,70,61
Student218,3F,Male,Chinese,66,63,64
Student229,3F,Male,Chinese,66,80,74
Student242,3G,Female,Chinese,66,63,50
Student256,3G,Male,Malay,66,64,61
Student112,3C,Male,Chinese,67,73,54
Student140,3D,Male,Chinese,67,86,76
Student183,3E,Male,Malay,67,72,63
Student211,3F,Female,Others,67,70,68
Student223,3F,Male,Malay,67,68,59
Student232,3F,Female,Chinese,67,95,84
Student233,3F,Female,Chinese,67,80,56
Student243,3G,Female,Malay,67,53,44
Student249,3G,Male,Chinese,67,81,74
Student254,3G,Male,Chinese,67,74,59
Student026,3A,Male,Chinese,68,87,66
Student097,3C,Male,Malay,68,63,50
Student116,3C,Male,Chinese,68,79,77
Student145,3D,Male,Chinese,68,83,65
Student159,3E,Female,Malay,68,74,58
Student190,3E,Male,Others,68,67,59
Student207,3F,Female,Malay,68,69,65
Student250,3G,Male,Chinese,68,60,59
Student268,3H,Female,Malay,68,61,64
Student204,3F,Female,Malay,69,75,54
Student216,3F,Female,Chinese,69,67,69
Student247,3G,Female,Chinese,69,62,58
Student257,3G,Male,Malay,69,44,50
Student021,3A,Male,Chinese,70,90,72
Student126,3D,Female,Others,70,70,68
Student192,3E,Male,Malay,70,66,63
Student205,3F,Female,Malay,70,70,58
Student230,3F,Male,Malay,70,84,73
Student237,3G,Female,Malay,70,63,42
Student048,3B,Female,Chinese,71,82,72
Student096,3C,Male,Malay,71,65,57
Student100,3C,Male,Chinese,71,82,72
Student103,3C,Male,Chinese,71,75,52
Student131,3D,Female,Others,71,75,74
Student161,3E,Female,Malay,71,79,68
Student173,3E,Female,Chinese,71,89,83
Student182,3E,Male,Chinese,71,77,72
Student217,3F,Male,Chinese,71,74,68
Student267,3G,Female,Chinese,71,63,58
Student020,3A,Female,Chinese,72,91,77
Student073,3B,Male,Chinese,72,83,69
Student079,3C,Female,Chinese,72,60,37
Student132,3D,Female,Chinese,72,71,61
Student136,3D,Male,Chinese,72,96,77
Student147,3D,Male,Chinese,72,79,79
Student151,3D,Male,Chinese,72,74,78
Student168,3E,Female,Malay,72,52,55
Student025,3A,Male,Chinese,73,91,74
Student046,3B,Female,Chinese,73,65,75
Student087,3C,Female,Chinese,73,85,71
Student089,3C,Female,Chinese,73,74,68
Student090,3C,Female,Chinese,73,73,69
Student094,3C,Female,Chinese,73,69,62
Student099,3C,Male,Chinese,73,79,74
Student111,3C,Male,Malay,73,66,53
Student118,3D,Female,Chinese,73,81,65
Student120,3D,Female,Chinese,73,72,70
Student122,3D,Female,Chinese,73,77,76
Student143,3D,Male,Chinese,73,74,72
Student146,3D,Male,Chinese,73,79,66
Student150,3D,Male,Malay,73,85,71
Student153,3D,Male,Chinese,73,83,74
Student170,3E,Female,Indian,73,83,57
Student174,3E,Male,Malay,73,75,69
Student181,3E,Male,Chinese,73,77,68
Student214,3F,Female,Chinese,73,82,62
Student088,3C,Female,Chinese,74,88,72
Student101,3C,Male,Chinese,74,75,80
Student113,3C,Male,Chinese,74,78,71
Student137,3D,Male,Chinese,74,86,77
Student139,3D,Male,Chinese,74,87,65
Student158,3E,Female,Chinese,74,82,75
Student169,3E,Female,Chinese,74,59,61
Student236,3G,Female,Chinese,74,60,46
Student067,3B,Male,Chinese,75,84,80
Student074,3B,Male,Chinese,75,83,75
Student093,3C,Female,Chinese,75,85,71
Student110,3C,Male,Malay,75,76,72
Student154,3D,Male,Chinese,75,58,67
Student178,3E,Male,Chinese,75,68,64
Student195,3F,Female,Chinese,75,70,73
Student011,3A,Female,Chinese,76,91,74
Student024,3A,Male,Chinese,76,88,72
Student035,3A,Male,Chinese,76,89,71
Student083,3C,Female,Malay,76,75,63
Student124,3D,Female,Chinese,76,67,53
Student165,3E,Female,Chinese,76,82,67
Student166,3E,Female,Chinese,76,80,75
Student172,3E,Female,Chinese,76,71,62
Student187,3E,Male,Chinese,76,88,71
Student053,3B,Female,Chinese,77,79,77
Student054,3B,Female,Chinese,77,85,78
Student063,3B,Female,Chinese,77,69,72
Student068,3B,Male,Chinese,77,93,82
Student072,3B,Male,Chinese,77,79,76
Student104,3C,Male,Chinese,77,91,72
Student109,3C,Male,Malay,77,81,69
Student125,3D,Female,Chinese,77,85,78
Student129,3D,Female,Chinese,77,80,66
Student134,3D,Female,Chinese,77,74,67
Student142,3D,Male,Chinese,77,89,80
Student164,3E,Female,Malay,77,54,68
Student194,3E,Female,Chinese,77,78,72
Student196,3F,Female,Chinese,77,80,69
Student222,3F,Male,Malay,77,77,72
Student006,3A,Female,Chinese,78,75,70
Student032,3A,Male,Malay,78,85,84
Student045,3B,Female,Malay,78,83,65
Student070,3B,Male,Malay,78,95,70
Student092,3C,Female,Chinese,78,86,84
Student108,3C,Male,Chinese,78,78,70
Student138,3D,Male,Indian,78,78,65
Student149,3D,Male,Malay,78,83,79
Student152,3D,Male,Others,78,61,74
Student160,3E,Female,Malay,78,71,49
Student019,3A,Female,Chinese,79,77,70
Student023,3A,Male,Chinese,79,94,79
Student028,3A,Male,Chinese,79,90,80
Student065,3B,Female,Chinese,79,91,85
Student069,3B,Male,Chinese,79,86,81
Student080,3C,Female,Malay,79,73,58
Student086,3C,Female,Malay,79,79,69
Student091,3C,Female,Chinese,79,82,61
Student095,3C,Female,Chinese,79,86,75
Student107,3C,Male,Chinese,79,92,61
Student144,3D,Male,Chinese,79,86,77
Student004,3A,Female,Chinese,80,89,73
Student034,3A,Male,Chinese,80,88,78
Student055,3B,Female,Chinese,80,89,85
Student060,3B,Female,Malay,80,79,77
Student078,3B,Female,Chinese,80,97,83
Student081,3C,Female,Chinese,80,76,69
Student239,3G,Female,Malay,80,56,52
Student005,3A,Female,Chinese,81,79,62
Student052,3B,Female,Chinese,81,85,82
Student062,3B,Female,Malay,81,87,81
Student102,3C,Male,Chinese,81,78,70
Student121,3D,Female,Malay,81,82,71
Student123,3D,Female,Chinese,81,74,70
Student128,3D,Female,Others,81,76,70
Student008,3A,Female,Chinese,82,78,82
Student047,3B,Female,Chinese,82,86,78
Student058,3B,Female,Malay,82,81,65
Student064,3B,Female,Malay,82,87,78
Student130,3D,Female,Malay,82,80,67
Student014,3A,Female,Chinese,83,93,84
Student018,3A,Female,Indian,83,90,83
Student029,3A,Male,Chinese,83,87,89
Student050,3B,Female,Chinese,83,89,84
Student066,3B,Male,Chinese,83,97,88
Student075,3B,Male,Chinese,83,80,79
Student084,3C,Female,Chinese,83,76,56
Student127,3D,Female,Malay,83,81,60
Student003,3A,Female,Chinese,84,91,82
Student037,3A,Male,Chinese,84,91,74
Student041,3B,Female,Chinese,84,85,78
Student043,3B,Female,Chinese,84,97,88
Student051,3B,Female,Chinese,84,83,70
Student057,3B,Female,Malay,84,90,80
Student027,3A,Male,Chinese,85,98,80
Student031,3A,Male,Chinese,85,91,78
Student044,3B,Female,Chinese,85,92,84
Student049,3B,Female,Chinese,85,86,83
Student056,3B,Female,Chinese,85,86,77
Student059,3B,Female,Malay,85,74,75
Student061,3B,Female,Malay,85,87,79
Student076,3B,Male,Chinese,85,85,82
Student135,3D,Female,Chinese,85,86,81
Student001,3A,Female,Chinese,86,90,85
Student033,3A,Male,Chinese,86,95,84
Student038,3A,Male,Chinese,86,91,87
Student071,3B,Male,Chinese,86,91,88
Student077,3B,Male,Chinese,86,91,88
Student009,3A,Female,Chinese,87,95,82
Student022,3A,Male,Chinese,87,90,91
Student042,3B,Female,Indian,87,92,81
Student007,3A,Female,Chinese,88,91,86
Student030,3A,Male,Chinese,88,89,83
Student040,3A,Female,Malay,88,87,85
Student039,3A,Male,Chinese,89,97,90
Student002,3A,Female,Chinese,90,93,89
Student013,3A,Female,Chinese,90,97,90
Student017,3A,Female,Chinese,90,85,89
Student016,3A,Female,Chinese,91,95,91
Student015,3A,Female,Others,92,90,87
Student010,3A,Female,Chinese,93,93,90
Student012,3A,Female,Chinese,93,97,84
Student036,3A,Male,Chinese,96,99,96
